code,name,source,category,section,page_pdf,air_g,energy_kcal,protein_g,fat_g,carb_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,thiamin_mg,riboflavin_mg,niacin_mg,vitamin_c_mg,bdd_percent
CP001,"Winged bean, boiled",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,31,55.6,204,16.9,8.8,17.5,4.8,1.2,230.0,180.0,3.3,43.0,1098.0,3.24,2.3,,,,0.2,0.48,0.7,,100.0
CP003,"Bambara groundnut, boiled",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,61.2,161,7.7,2.8,27.1,2.0,1.2,56.0,134.0,1.4,,,,,,,,0.1,,,,35.0
CP004,"Pigeon pea, boiled",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,61.5,147,9.0,0.5,27.5,3.4,1.5,50.0,175.0,2.0,14.0,1126.0,0.8,2.7,,12.0,,0.1,0.07,13.2,,100.0
CP005,"Mung bean, boiled",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,71.3,109,8.7,0.5,18.3,1.5,1.2,95.0,149.0,1.5,447.0,657.8,1.4,2.8,,18.0,120.0,0.12,0.04,0.4,3.0,100.0
CP006,"Soybean, fried",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,9.6,521,32.2,37.7,22.9,7.6,3.7,296.0,800.0,6.5,3492.0,11890.0,26.3,60.0,,,20.0,0.4,1.9,19.0,,100.0
CP007,"Soybean, boiled",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,56.8,189,20.2,8.2,12.7,1.6,2.1,91.0,270.0,3.9,181.0,615.0,1.3,3.7,,4.0,15.0,0.2,0.04,0.5,0.0,100.0
CP008,"Dried red kidney bean, boiled",KZGPI-l990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,59.6,158,10.3,0.9,28.2,2.6,1.0,160.0,149.0,3.7,6.0,311.0,0.27,1.5,,,,0.2,0.09,0.8,,100.0
CP009,"Fresh red kidney bean, boiled",KZGPI-l990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,63.1,144,10.0,1.0,24.7,3.5,1.2,144.0,150.0,2.8,6.0,311.0,0.27,1.5,,0.0,,0.1,0.08,0.7,,100.0
CP010,"Cashew nut, fried",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,1.0,629,20.4,56.3,19.8,1.1,2.5,502.0,493.0,8.0,13.0,641.7,4.7,5.4,,5.0,,0.37,0.22,1.8,,100.0
CP011,Peanut boiled with shell,DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,40.2,360,13.5,31.2,12.8,,2.3,42.0,177.0,1.4,32.0,483.0,1.6,2.0,0.0,,,0.44,0.13,9.0,5.0,43.0
CP012,"Peanut, fried",KZGPI-l990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,2.5,564,25.5,44.4,25.5,2.8,2.8,106.0,390.0,4.1,,,,,,,,0.4,,,,100.0
CP013,"Peanut, boiled",KZGPI-l990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,62.1,220,10.6,18.0,8.0,1.0,1.3,89.0,273.0,1.9,36.0,536.2,1.78,2.2,,,,0.1,,,0.0,100.0
CP014,"Cowpea, boiled",KZGPI-l990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,64.4,138,10.7,1.1,22.6,0.9,1.2,165.0,172.0,4.0,13.0,6.7,0.8,6.1,,,,0.01,0.17,3.2,,100.0
CP015,Mung bean residue,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,70.6,96,3.7,0.6,19.1,2.7,0.6,133.0,150.0,1.3,,,,,,,,0.05,,,,100.0
CP016,"Tofu residue (okara), raw",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,84.1,67,5.0,2.1,8.1,4.1,0.6,460.0,88.0,1.0,8.0,184.5,0.17,0.5,,0.0,,0.06,0.02,0.1,,100.0
CP017,Steamed tofu residue (okara),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,82.5,75,4.1,2.1,10.7,5.1,0.6,203.0,60.0,1.3,,,,,,0.0,,0.07,,,,100.0
CP018,Dried tofu residue (okara),DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,9.0,414,26.6,18.3,41.3,0.0,5.8,19.0,29.0,4.0,45.0,1055.7,0.99,2.8,0.0,24.0,,0.2,0.1,0.5,0.0,100.0
CP019,Oncom tofu residue dish (pepea oncom),KZGPI-1990 PANGAN,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,32,80.9,76,5.2,1.8,10.6,2.2,1.5,215.0,66.0,12.5,,,,,,,268.0,0.11,,,,100.0
CP022,Coconut press cake (bungkil kelapa),DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,10.0,367,23.0,15.0,35.0,,38.0,137.0,433.0,41.5,,,,,0.0,,,0.0,0.46,8.9,,100.0
CP023,Banjarmasin sweet sticky confection (dodol),KZGMI-2001,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,17.3,368,2.6,8.6,70.0,0.5,1.5,51.0,180.0,3.3,48.0,96.0,0.4,2.6,0.0,0.0,0.0,0.04,0.07,2.3,0.0,100.0
CP024,Melinjo nut cracker (emping),DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,15.0,300,12.0,1.5,61.0,,28.0,100.0,400.0,5.0,,,,,,,,0.2,,,0.0,100.0
CP025,Hyacinth bean cracker (emping komak),KZGMI-2001,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,14.2,355,17.8,4.6,60.7,,2.7,87.0,304.0,4.3,24.0,1233.0,1.0,2.3,,0.0,,,,0.6,,100.0
CP026,Hello Kitty pressed peanut brittle (enting-enting),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,2.4,538,13.6,30.3,52.6,0.2,1.0,81.0,248.0,1.6,,,,,0.0,,202.0,1.0,,,0.0,100.0
CP027,Pressed peanut brittle (enting-enting gepuk),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,4.2,524,13.3,29.2,52.0,0.2,1.4,76.0,248.0,1.4,,,,,0.0,,272.0,0.62,,,0.0,100.0
CP028,Sesame brittle (enting-enting wijen),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,3.7,565,18.2,38.4,36.8,1.9,3.0,251.0,502.0,10.9,,,,,0.0,,240.0,0.92,,,0.0,100.0
CP029,Coconut and rice peanut sweet (geplak),KZGMI-2001,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,29.6,350,1.4,14.4,53.6,1.8,1.0,151.0,43.0,2.1,,,,,0.0,,120.0,0.12,0.02,0.8,0.0,100.0
CP030,Ginger coconut sweet (geplak jahe),KZGMI-2001,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,12.4,462,3.1,24.4,57.7,3.3,2.5,212.0,161.0,6.6,,,,,0.0,,272.0,0.12,0.0,0.1,0.0,100.0
CP031,Coated peanut snack (kacang atom),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,3.1,533,27.8,38.1,28.8,2.5,2.2,87.0,423.0,3.0,,,,,,,0.0,0.06,,,0.0,100.0
CP032,Shaken spiced peanut snack (kacang goyang),KZGMI-2001,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,8.3,516,14.7,31.1,44.4,,1.5,34.0,230.0,0.7,2.0,365.0,0.6,1.7,,,,,,,,100.0
CP033,Negara-style peanut,KZGMI-2001,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,3.1,480,18.4,19.1,58.5,11.7,0.9,34.0,404.0,10.3,1010.0,385.0,2.5,7.1,,,,0.63,0.05,2.6,,100.0
CP034,Sukro-style coated peanut (kacang sukro),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,4.7,484,8.8,26.1,57.7,1.8,2.7,49.0,194.0,2.5,,,,,,,0.0,0.06,,,0.0,100.0
CP035,Peanut extract (kacang tanah sari),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,2.1,561,25.5,43.8,26.0,2.2,2.6,50.0,324.0,3.1,,,,,,,0.0,0.08,,,0.0,100.0
CP036,Peanut butter,DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,3.0,590,27.0,49.0,20.9,1.6,0.1,60.0,360.0,2.0,355.0,492.4,0.57,2.7,0.0,0.0,,0.3,0.2,16.2,0.0,100.0
CP037,Silken tofu skin (kembang tahu),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,10.8,380,48.9,13.8,23.3,0.0,3.2,378.0,781.0,2.1,55.0,455.3,0.68,4.2,,0.0,,0.15,0.08,0.7,,100.0
CP039,Oncom chips (keripik oncom),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,3.0,598,8.3,43.8,42.6,3.3,2.2,85.0,153.0,27.0,,,,,,,1608.0,1.13,,,0.0,100.0
CP040,Tempeh chips,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,3.3,581,12.1,40.6,41.7,2.2,2.3,237.0,116.0,6.9,,,,,,,320.0,0.35,,,0.0,100.0
CP041,Abadi large tempeh chips,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,33,4.5,556,15.8,37.1,39.8,3.5,2.8,112.0,215.0,5.4,,,,,,,0.0,0.63,,,0.0,100.0
CP043,Abadi medium tempeh chips,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,4.4,510,12.3,27.9,52.4,3.6,3.1,122.0,211.0,8.4,,,,,,,0.0,0.52,,,0.0,100.0
CP044,Abadi egg tempeh chips,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,4.5,529,20.8,31.7,40.2,3.0,2.9,124.0,222.0,5.4,,,,,,,0.0,0.86,,,0.0,100.0
CP045,Abadi prima tempeh cracker,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,4.8,540,16.7,33.9,42.0,2.2,2.6,92.0,184.0,3.2,,,,,,,1080.0,0.38,,,0.0,100.0
CP046,Roasted watermelon seeds (kwaci),DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,9.9,515,30.6,42.1,13.8,13.6,3.7,54.0,312.0,6.2,124.0,448.6,0.65,9.7,0.0,,,0.02,0.19,0.3,0.0,35.0
CP047,Sweet fried thick melinjo cracker,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,5.6,439,10.0,16.4,65.7,,2.3,66.0,225.0,,,,,,,,0.0,0.1,,,0.0,100.0
CP048,Salted fried thick melinjo cracker,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,8.0,431,11.1,16.2,63.0,,1.6,77.0,,,,,,,,,0.0,0.08,,,0.0,100.0
CP049,Fried thin melinjo cracker,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,3.3,485,11.5,24.5,59.1,,1.5,85.0,218.0,,,,,,,,0.0,0.11,,,0.0,100.0
CP050,Moon tofu snack,KZGMS-1993,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,79.9,128,8.0,10.0,1.3,0.2,0.8,205.0,92.0,2.5,393.0,,,,131.0,,5300.0,0.46,,,0.0,100.0
CP051,Oncom (fermented peanut press cake),DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,57.0,187,13.0,6.0,22.6,,1.4,96.0,115.0,27.0,,,,,0.0,,,0.09,0.0,1.6,0.0,100.0
CP052,Mung bean residue oncom,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,13.4,376,14.9,6.0,65.7,12.3,1.7,199.0,110.0,10.9,,,,,,,,0.03,,,,100.0
CP053,Mung bean and cassava oncom,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,16.5,351,11.0,5.3,65.9,9.0,1.3,164.0,113.0,7.8,,,,,,,,0.01,,,,100.0
CP054,Steamed peanut oncom in banana leaf,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,65.0,132,12.7,3.8,13.7,3.1,4.8,133.0,355.0,34.4,,,,,,,10.0,0.08,0.2,0.7,0.0,100.0
CP055,Peanut rice cracker (rempeyek),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,3.9,513,17.5,32.5,44.3,1.7,1.8,65.0,202.0,2.6,,,,,,,0.0,0.1,,,0.0,100.0
CP056,Cowpea rice cracker (rempeyek kacang tolo),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,6.1,451,11.2,20.2,59.7,1.8,2.8,156.0,221.0,4.6,,,,,,,0.0,0.02,,,0.0,100.0
CP057,Uci bean rice cracker (rempeyek kacang uci),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,4.0,497,17.0,27.6,50.8,2.4,3.4,166.0,89.0,6.7,,,,,,,0.0,0.05,,,0.0,100.0
CP058,Lebui bean vegetable dish,KZGMI-2001,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,83.9,64,2.1,0.6,12.5,5.7,0.9,21.0,2.0,1.0,124.0,146.0,0.2,0.7,,14.0,,,0.0,0.1,,100.0
CP059,Soy powder extract (saridele),DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,3.0,344,30.0,20.0,43.0,6.2,4.0,450.0,500.0,4.0,56.0,2572.3,2.99,4.0,,0.0,2000.0,0.7,0.16,2.0,10.0,100.0
CP060,Soy milk,DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,87.0,41,3.5,2.5,5.0,0.2,2.0,50.0,45.0,0.7,128.0,287.9,0.12,1.0,,,200.0,0.08,0.05,0.7,2.0,100.0
CP061,"Tofu, raw",KZGPI-1990 PANGAN,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,34,82.2,80,10.9,4.7,0.8,0.1,1.4,223.0,183.0,3.4,2.0,50.6,0.19,0.8,,118.0,,0.01,0.08,0.1,,100.0
CP064,Pressed tofu (takwa),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,72.2,148,13.8,8.5,4.0,0.0,1.6,140.0,214.0,8.5,3.0,79.0,0.3,1.3,,,920.0,0.2,0.1,0.8,,100.0
CP065,Fermented soybean paste (tauco),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,54.0,184,11.4,5.5,22.2,1.9,6.9,72.0,463.0,6.0,1766.0,233.0,0.39,1.0,,0.0,664.0,0.32,0.2,0.8,0.0,100.0
CP066,"Bear brand fermented soybean paste, cake form",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,11.4,347,7.4,5.2,67.6,3.2,8.4,63.0,106.0,6.2,,,,,,,936.0,0.35,,,0.0,100.0
CP067,"DAS brand fermented soybean paste, cake form",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,10.2,358,7.5,4.3,70.4,3.1,7.6,94.0,94.0,4.5,,,,,,,504.0,0.29,,,0.0,100.0
CP068,Meong brand fermented soybean paste,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,59.7,159,7.4,4.9,21.3,1.6,6.7,183.0,84.0,10.1,1547.0,204.1,0.34,0.9,,0.0,472.0,0.46,0.18,0.7,0.0,100.0
CP069,Singa brand fermented soybean (tauji),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,30.4,277,9.1,4.7,49.6,1.2,6.2,68.0,106.0,3.0,,,,,,,936.0,0.15,,,0.0,100.0
CP070,Bongkrek tempeh (coconut press cake tempeh),DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,70.0,88,10.0,4.0,3.0,,146.3,27.0,100.0,2.6,,,,,0.0,,,0.08,,,0.0,100.0
CP071,P3G tofu residue tempeh (tempe gembus),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,81.9,73,5.7,1.3,10.3,4.2,0.8,204.0,80.0,1.5,,,,,,,22.0,0.09,0.1,0.9,,100.0
CP072,Yogyakarta-style tofu residue tempeh,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,80.7,76,6.8,0.7,10.6,5.3,1.1,76.0,142.0,16.5,,,,,,,,0.79,0.01,0.1,,100.0
CP073,Winged bean tempeh,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,64.0,139,12.5,0.8,21.9,1.8,1.2,68.0,182.0,2.6,,,,,,,20.0,0.1,,,,100.0
CP074,Winged bean tempeh (kecipir),KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,58.2,212,17.5,10.0,12.9,2.9,1.4,186.0,160.0,2.2,,,,,,,,0.2,,,,100.0
CP075,Soybean and corn tempeh,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,70.6,143,12.0,5.5,11.4,1.9,0.6,155.0,156.0,6.8,,,,,,,1320.0,0.33,0.15,1.2,,100.0
CP076,"Pure soybean tempeh, fried",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,36.8,350,24.5,26.6,10.4,4.2,1.8,202.0,296.0,4.9,22.0,626.7,0.8,2.5,,,78.0,0.24,0.6,3.3,0.0,100.0
CP077,"Pure soybean tempeh, raw",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,55.3,201,20.8,8.8,13.5,1.4,1.6,155.0,326.0,4.0,9.0,234.0,0.57,1.7,,0.0,,0.19,0.59,4.9,,100.0
CP078,Velvet bean tempeh (koro benguk),DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,64.0,141,10.2,1.3,23.2,,1.3,42.0,15.0,2.6,,,,,0.0,,,0.09,,,0.0,100.0
CP079,Leucaena tempeh,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,66.8,128,10.7,0.5,21.3,7.1,0.7,203.0,108.0,0.6,,,,,,,121.0,0.17,,,2.0,100.0
CP080,"Leucaena var. Gung tempeh, with skin",KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,35,65.1,146,11.7,2.3,19.6,7.6,1.3,128.0,41.0,6.8,,,,,,,1370.0,0.19,,1.4,,100.0
CP082,Market tempeh,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,36,68.3,150,14.0,7.7,9.1,1.4,0.9,517.0,202.0,1.5,7.0,165.9,0.4,1.2,,0.0,,0.17,0.44,3.6,,100.0
CP083,Fried market tempeh,KZGPI-1990,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,36,42.9,336,20.0,28.0,7.8,3.4,1.3,156.0,350.0,3.0,20.0,566.2,0.8,2.2,,,10.0,0.1,0.5,3.0,0.0,100.0
CP084,Mung bean starch flour (hunkwe),DABM-1964,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,36,10.0,364,4.5,1.0,83.5,16.1,1.0,50.0,100.0,1.0,15.0,1232.9,0.93,2.7,0.0,,,0.0,0.23,2.2,0.0,100.0
CP085,Jalejo bean flour,BKP,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,36,10.0,388,19.0,7.5,61.2,5.8,2.3,101.0,663.0,2.0,3.0,712.0,0.6,1.9,,1000.0,0.0,0.02,0.7,1.6,9.0,100.0
CP086,Soybean flour,DABM-1964 PANGAN,"4.3. KACANG, BIJI, BEAN DAN HASIL OLAHANNYA",composite,36,9.0,347,35.9,20.6,29.9,5.8,4.0,195.0,544.0,8.4,52.0,2522.6,4303.45,2.6,,0.0,140.0,0.77,0.32,2.1,0.0,100.0
DR001,"Tonjong root, fresh",KZGPI-1990,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,86.7,45,1.1,0.4,10.8,1.2,1.0,72.0,125.0,1.3,96.4,1147.1,0.02,0.2,0.0,83.0,90.0,0.02,0.03,1.9,2.0,100.0
DR002,"Ale sprouts, fresh",KZGPI-1990,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,90.6,37,4.4,0.5,3.8,1.7,0.7,50.0,248.0,2.0,2.3,105.0,0.16,0.4,0.0,0.0,35.0,0.02,0.09,0.6,46.0,90.0
DR003,"Batak pepper (andaliman), fresh",KZGPI-1990,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,74.2,99,4.6,1.0,18.0,8.5,2.2,383.0,107.0,2.9,,,,,0.0,,6300.0,3.0,,,15.0,100.0
DR004,"Endive, fresh",DABM-1964,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,91.8,226,1.6,0.2,5.3,4.1,1.1,33.0,66.0,1.0,29.0,414.6,0.13,1.0,,1717.0,,0.14,0.09,0.5,10.0,80.0
DR005,"Spider lily (bakung), fresh",KZGMI-2001,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,92.5,27,2.0,0.2,4.2,3.8,1.1,19.0,20.0,0.5,37.0,340.0,0.2,0.3,,1080.0,,0.2,0.1,0.3,42.0,100.0
DR006,"Wax gourd (ash gourd), fresh",DABM-1964,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,96.1,15,0.4,0.2,3.0,0.4,0.3,19.0,19.0,0.4,1.7,131.1,0.02,0.6,,0.0,,0.04,0.02,0.3,13.0,69.0
DR007,"Onion, fresh",DABM-1964,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,87.5,43,1.4,0.2,10.3,2.0,0.6,32.0,44.0,0.5,12.2,9.6,0.1,0.3,,788.0,50.0,0.03,0.21,0.4,9.0,94.0
DR008,"Spinach (amaranth), fresh",KZGPI-1990,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,94.5,16,0.9,0.4,2.9,0.7,1.3,166.0,76.0,3.5,15.8,456.4,0.13,0.4,,2699.0,2293.0,0.04,0.1,1.0,41.0,71.0
DR009,"Red spinach (red amaranth), fresh",KZGMI-2001,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,88.5,41,2.2,0.8,6.3,2.2,2.2,520.0,80.0,7.0,20.0,60.0,0.2,0.8,0.0,7325.0,,0.2,0.1,0.1,62.0,71.0
DR010,"Beetroot, fresh",DABM-1964,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,87.6,41,1.6,0.1,9.6,2.6,1.1,27.0,43.0,1.0,28.5,404.9,0.2,0.7,,0.0,20.0,0.02,0.05,0.3,10.0,75.0
DR011,Moringa fruit (drumstick),KZGMI-2001,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,89.5,38,1.5,0.2,7.5,3.2,1.3,30.0,54.0,0.0,48.0,216.0,0.0,0.2,,31.0,,0.1,0.1,4.1,25.0,65.0
DR012,Red pandanus fruit (buah merah),KZGMI-2001,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,81.2,87,2.6,2.7,13.1,4.0,0.4,30.0,1.0,1.1,110.0,140.0,0.1,0.3,0.0,0.0,,1.5,0.1,0.2,15.0,100.0
DR013,"French bean (green bean), fresh",KZGPI-1990,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,89.6,34,2.4,0.3,7.2,1.9,0.5,101.0,42.0,0.7,8.0,250.0,0.07,0.3,0.0,772.0,550.0,0.05,0.4,2.8,11.0,90.0
DR014,"Papaya flower, fresh",KZGPI-1990,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,87.3,45,2.6,0.3,8.1,1.6,1.7,290.0,113.0,4.2,2.3,478.3,0.08,0.8,,2792.0,5.0,0.01,0.28,1.0,23.0,100.0
DR015,"Sesban flower (turi), fresh",BKP,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,90.4,42,2.0,1.1,6.1,3.3,0.4,28.0,23.0,0.8,28.6,97.4,0.1,0.6,,1200.0,0.0,0.5,0.02,0.4,1.0,96.1
DR016,"Chinese flowering cabbage (caisim), fresh",KZGPI-1990,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,93.6,20,1.7,0.4,3.4,1.2,0.9,123.0,40.0,1.9,18.0,358.2,0.05,1.4,,1675.0,4188.0,0.04,0.19,0.6,3.0,100.0
DR017,"Indian borage leaf (bangun-bangun), fresh",KZGPI-1990,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,92.5,27,1.3,0.6,4.0,1.0,1.6,279.0,40.0,13.6,3.6,144.0,,,,1489.0,13288.0,0.16,0.1,0.0,5.0,66.0
DR018,"Shallot leaf, fresh",KZGMI-2001,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,89.1,41,2.0,0.3,7.8,2.1,0.8,60.0,40.0,2.3,30.0,90.0,0.1,0.3,0.0,218.0,,0.1,0.1,0.2,11.0,67.0
DR019,"Bebuas leaf, fresh",KZGPI-1990,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,87.9,41,2.7,1.0,7.3,2.1,1.1,29.0,245.0,1.5,,,,,0.0,,3099.0,0.01,,,3.0,49.0
DR020,"Belem leaf, fresh",KZGPI-1990,4.4. SAYURAN DAN HASIL OLAHANNYA,single,37,84.6,50,4.4,1.4,7.8,1.9,1.8,698.0,151.0,7.5,,,,,0.0,,13072.0,0.05,,,21.0,81.0
DR021,"Bluntas leaf (Pluchea indica), fresh",DABM-1964,4.4. SAYURAN DAN HASIL OLAHANNYA,single,38,86.0,44,1.8,0.5,9.4,,2.3,256.0,49.0,5.6,,,,,,,3980.0,0.02,,,30.0,65.0
DR022,"Gandaria leaf, fresh",DABM-1964,4.4. SAYURAN DAN HASIL OLAHANNYA,single,38,81.0,63,3.1,0.3,14.0,2.1,1.6,40.0,45.0,4.7,3.0,127.7,,,,503.0,600.0,0.04,0.04,0.2,61.0,65.0
DR023,"Large native okra leaf (gedi besar), fresh",KZGMI-2001,4.4. SAYURAN DAN HASIL OLAHANNYA,single,38,84.0,58,2.9,0.7,10.0,3.3,2.4,440.0,100.0,1.9,30.0,40.0,0.2,2.1,,596.0,,0.4,0.5,2.8,11.0,65.0
